AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
-0.5402251,0.9657192,-5.9649363,-0.39488366,0.040032037,0.005905032,1
0.061178546,1.7870378,-5.7046566,0.004622215,0.04186463,-0.060068414,1
2.3397279,1.8270388,-3.236803,-0.15542448,-0.028995737,0.098756544,1
1.5832325,1.5520926,-2.2511885,-0.011871147,-0.03510439,0.008348491,1
-0.33607292,1.2501879,-2.5070412,0.15489507,-0.039380446,0.002850704,1
-0.9666346,1.297862,-4.486888,0.20620775,-0.007615454,-0.03868813,1
-0.8173636,1.1707335,-0.83699566,0.015006924,-0.03632612,0.004683301,1
0.25195217,0.73420143,0.77077746,0.08342383,0.06385578,-0.005090542,1
1.4923401,0.21168518,-2.2440844,0.1261844,0.004601852,0.03828089,1
-0.34029377,-0.13316154,-3.3136377,0.05898922,0.019873483,0.024230987,1
-0.12720466,1.3937235,-2.2624955,0.087089024,-0.06320419,0.008348491,1
-0.19766805,0.89973927,-0.1970452,0.07059566,-0.01189151,-0.003868815,1
1.7589767,0.56158066,0.618921,-0.002708169,-0.055262942,0.073711075,1
1.3609995,0.22072887,-1.0951601,0.13046046,-0.032660928,-0.016696984,1
1.6563301,-0.1798935,1.0824738,0.031500284,-0.08091928,0.023009256,1
2.5775075,-0.50728226,2.0361814,0.12435181,-0.08824967,-0.11626802,1
1.3292818,0.15449429,2.9505181,0.07487172,0.03942117,-0.08633562,1
1.1157957,-0.6317272,2.2098422,-0.039360084,0.015597426,-0.024638232,1
0.8512863,-1.3218431,2.2670722,-0.10289007,-0.012502376,0.021176662,1
0.9681853,-0.3591795,2.2119074,-0.10105747,-0.015556702,-0.06067928,1
1.6009741,-0.22890091,5.3657265,0.025391633,0.07668395,-0.15902859,1
-2.3563907,1.6631184,1.2130729,0.22514457,0.06568837,-0.12604186,1
-1.8538207,1.3074427,-0.50389004,-0.015536339,-0.05037602,0.019954931,1
-0.7706321,0.27122307,0.4487018,0.06631961,0.01132137,-0.053959765,1
-0.15830329,-3.7903023,3.4974184,-0.27087802,0.021706078,-0.012420926,1
-0.42405415,-1.4261751,0.86375856,-0.11510737,0.079738274,0.04988733,1
0.1373945,0.19198322,-0.777334,-0.2727106,0.0827926,-0.048461977,1
-0.8601184,1.6636782,-0.5353794,-0.047301333,0.08890126,-0.15047647,1
-1.4320848,0.4426899,-0.74032557,0.041884992,0.091344714,-0.1376483,1
-0.5572152,0.6317806,-2.546787,0.17444275,0.06019059,-0.06067928,1
1.0574453,0.6369524,-0.7244436,0.09014335,0.037588574,-0.01975131,1
1.2222387,0.8367996,-1.207967,0.17810795,0.037588574,-0.021583905,1
1.1756479,0.13879776,-1.2528069,0.03333288,0.09073385,-0.07167485,1
-0.28696108,-0.62055206,-0.92753804,0.027835093,-0.06198246,0.05599598,1
0.9027387,-0.10079193,0.12834698,0.04127413,-0.03754785,0.05843944,1
-0.7479304,0.20784569,-0.8202345,0.055934895,-0.003950262,0.037670024,1
0.3844592,-0.014212608,-0.5804174,-0.11266391,0.03514511,-0.04174246,1
0.247883,0.459898,0.5093074,-0.0863967,0.03819944,-0.05701409,1
-0.35000044,-0.437747,-0.010045618,0.05654576,0.0846252,-0.14803301,1
-0.2877762,-0.15011597,1.736652,-0.2885931,-0.012502376,0.01506801,1
1.0372179,-0.35876656,1.7251298,-0.2342261,-0.019221893,0.09203703,1
