AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
0.45993793,-1.0575624,-0.90541744,0.023365596,0.039095376,-0.018402316,SLOW,3583070,2
0.32899272,0.054841727,0.27311707,-0.0035124752,0.023823744,-0.0110719325,SLOW,3583070,2
0.74000084,-0.3891468,0.113116264,0.0759,-0.06291912,-0.030619621,SLOW,3583071,2
-0.61297995,-0.7041083,0.9744606,0.03680463,-0.0018325958,0.0035888334,SLOW,3583071,2
1.1046511,0.54356986,-0.033533096,-0.005955936,-0.037873644,0.0048105638,SLOW,3583072,2
-0.72257066,0.06589757,1.2582073,0.075289145,0.13622294,0.056123246,SLOW,3583072,2
-0.032603502,0.9243001,0.45657253,0.014202617,-0.01160644,-0.010461068,SLOW,3583073,2
0.84279823,0.67636704,0.46356583,0.00992656,0.008552114,-0.0129045285,SLOW,3583073,2
0.4107144,0.16595608,1.3744249,0.001985312,-0.008552114,-0.0037415496,SLOW,3583074,2
-0.070317864,-0.85219574,-0.6063833,-0.009010263,-0.11362094,-0.05505423,SLOW,3583074,2
0.13122737,-0.38069615,-1.1667528,-0.10308351,-0.20525073,-0.0397826,SLOW,3583075,2
0.17784953,-0.7080842,-0.94947624,0.019700404,0.080634214,0.021303926,SLOW,3583075,2
-1.145103,-0.89601225,-0.24878979,0.0759,0.08552113,0.013362677,SLOW,3583076,2
-2.6442745,-2.5636013,-1.1732321,-0.0053450707,-0.1160644,-0.027565295,SLOW,3583077,2
-0.8957037,0.45583615,1.6594887,-0.11102476,-0.07452556,0.05429065,SLOW,3583077,2
0.7652004,2.1131625,1.2231588,0.13026701,-0.050701816,-0.16317739,SLOW,3583078,2
-0.024217248,0.4785946,0.7092571,-0.07070765,-0.14721853,-0.038560867,SLOW,3583078,2
0.46720004,0.34423807,0.13853931,-0.07009678,-0.04337143,0.011530082,SLOW,3583079,2
-0.76638544,-0.7531625,-0.51207066,0.0759,0.017715093,-0.19310978,SLOW,3583079,2
-0.28816628,-1.6308962,-0.097361565,0.0038179078,0.03604105,-0.004352415,SLOW,3583080,2
-0.025117159,0.9171357,0.9120016,-0.08536842,-0.061086524,-0.053221636,SLOW,3583080,2
-0.72296214,-0.16008684,0.32838917,-0.0047342055,0.1142318,-0.13141239,SLOW,3583081,2
1.1009512,0.48942226,-0.009467125,-0.048716504,0.0580322,-0.048945576,SLOW,3583081,2
0.96695447,-0.31499565,0.73401356,-0.010231993,0.022602014,0.028023442,SLOW,3583082,2
-0.8317312,-0.3456138,-0.7083454,0.071013086,-0.009773844,0.061621033,SLOW,3583083,2
-0.40691352,-0.30785528,-0.047599792,0.0062613687,-0.13683382,-0.0006872234,SLOW,3583083,2
-1.154449,-0.33251494,-0.16680622,-0.05421429,-0.09407325,0.062842764,SLOW,3583084,2
-1.0835153,-2.4735143,0.2636299,0.13942999,0.45631635,0.12576188,SLOW,3583084,2
-0.790447,0.26405454,0.62375927,-0.24663684,-0.40194935,-0.11919508,SLOW,3583085,2
-0.019569159,0.497078,1.1980839,0.05085453,-0.15882497,0.00786489,SLOW,3583085,2
-0.46247232,0.9834922,0.08982849,0.11071932,0.0720821,0.0762818,SLOW,3583086,2
-0.5731816,0.19511057,-0.4779806,0.2078469,0.11362094,0.1642464,SLOW,3583086,2
-1.3476692,-0.46685523,-0.3633318,0.08628472,-0.16371189,0.031077769,SLOW,3583087,2
-1.517217,0.47866404,0.031124115,-0.024281893,-0.17837265,0.07506007,SLOW,3583087,2
-0.11173558,-0.113221854,-0.5654888,0.011148291,0.05681047,0.1288162,SLOW,3583088,2
-0.54897463,0.66193664,0.77593136,-0.07925977,0.047036625,0.1184315,SLOW,3583088,2
-1.8495816,-0.55384123,-0.09923458,0.033750303,0.015271631,0.046960264,SLOW,3583089,2
-1.0184686,-0.0053044707,-0.2424078,-0.020616703,-0.036651913,-0.014737124,SLOW,3583090,2
0.53263974,0.36936888,1.106802,0.008093964,0.16615535,0.034742963,SLOW,3583090,2
-1.5404446,-0.24243787,0.9758606,-0.06154467,-0.014660766,0.051236324,SLOW,3583091,2
0.6029782,-0.7383678,-0.6120148,0.0056505036,0.02687807,0.04268421,SLOW,3583091,2
-0.21226144,0.34608382,0.46927452,0.052687127,0.018936822,0.02313652,SLOW,3583092,2
0.054176807,0.24709699,0.70066833,-0.0022907446,-0.018325957,0.0005345071,SLOW,3583092,2
0.7310884,-0.00026040524,1.120636,-0.11224649,0.020158553,-0.035506543,SLOW,3583093,2
-0.31716812,-1.3101573,0.24253082,0.0050396384,-0.13744467,-0.06604981,SLOW,3583093,2
1.2333542,-0.8705343,1.7522421,0.034972034,0.06414085,-0.030619621,SLOW,3583094,2
0.34419203,-1.3026417,-1.827805,-0.062155537,-0.13561209,-0.023289237,SLOW,3583094,2
0.13316143,-0.4817303,1.3502932,0.007483099,-0.07269296,-0.042836927,SLOW,3583095,2
1.2236425,0.64939374,2.1429033,-0.053603426,0.08002335,-0.031230485,SLOW,3583095,2
-0.17280853,0.07121135,1.4936562,-0.14645495,-0.24556783,-0.02695443,SLOW,3583096,2
1.9665277,-0.035237253,-0.92091274,-0.031612277,-0.058643065,-0.048945576,SLOW,3583097,2
-0.5599705,-1.9758568,-0.4612007,-0.021227567,-0.01038471,-0.009850202,SLOW,3583097,2
0.9986675,-2.497491,-0.705122,0.0954477,-0.21502456,0.04268421,SLOW,3583098,2
0.7289984,2.0124066,1.8940277,0.11927144,0.22479841,0.102549,SLOW,3583098,2
-1.8875022,-0.82485175,-0.58902645,-0.05177083,-0.019547688,0.16363552,SLOW,3583099,2
-2.1989102,-0.2721754,-0.946496,0.11560625,0.007941248,0.1483639,SLOW,3583099,2
-1.9458233,0.061725587,0.16400623,0.06734789,0.09162979,0.13187054,SLOW,3583100,2
-1.9967294,-0.4975109,-0.57637596,0.1253801,0.096516706,0.13736832,SLOW,3583100,2
-0.41130996,-0.29552412,1.0970831,0.032528576,-0.013439035,0.093386024,SLOW,3583101,2
-0.13301528,0.03472703,-0.38325405,0.0032070426,0.016493361,0.07322747,SLOW,3583101,2
-0.2335093,-1.0180663,-0.094584465,-0.012064588,0.09468412,0.049403727,SLOW,3583102,2
0.44369137,-0.6349845,0.0828495,0.0795652,0.008552114,-0.04100433,SLOW,3583102,2
0.6791347,-0.5528246,0.88781166,-0.05665775,-0.096516706,-0.09720393,SLOW,3583103,2
2.1792064,-0.49521732,-0.07311916,0.0032070426,-0.019547688,-0.11614075,SLOW,3583104,2
2.4706373,-0.2884444,-0.29010105,-0.029168816,0.14477506,-0.13874277,SLOW,3583104,2
1.9545815,0.22944194,0.05307007,0.03436117,-0.02687807,-0.13080151,SLOW,3583105,2
1.8342481,0.4988265,-1.0039606,-0.09392053,0.20769419,-0.122860275,SLOW,3583105,2
1.7757758,-0.9420456,-0.34724617,0.056963183,0.058643065,-0.16867517,SLOW,3583106,2
1.5827452,0.52766186,-0.77645874,0.058184914,0.25167647,-0.21143574,SLOW,3583106,2
1.7709715,0.3056621,-1.3618011,-0.14767668,0.34513888,0.0041996986,SLOW,3583107,2
1.5350492,0.9764863,-2.693324,-0.13057245,0.064751714,-0.56757015,SLOW,3583107,2
2.8904603,0.70541966,-1.2799406,-0.15806139,-0.50640726,-0.33910656,SLOW,3583108,2
0.5420265,-0.33432597,-1.0449142,-0.08109236,0.07696902,-0.15645786,SLOW,3583108,2
0.73304987,0.977846,0.63739395,0.089949906,-0.23090707,-0.87239194,SLOW,3583109,2
1.633286,0.9366057,1.0435743,-0.023060163,-0.009162978,-0.18150334,SLOW,3583110,2
1.7504318,-0.24261814,-0.049036026,-0.04810564,0.15332718,-0.11247557,SLOW,3583110,2
0.031262398,0.2696604,-0.15206337,-0.04138612,0.1600467,0.2008983,SLOW,3583111,2
-0.87824535,0.2371676,0.5521097,-0.047494773,-0.29016098,0.04390594,SLOW,3583111,2
-0.7825916,-0.11101964,-0.043310165,-0.0364992,0.02076942,0.056123246,SLOW,3583112,2
0.09025097,0.23869923,-1.5391932,-0.021838432,0.093462385,0.0463494,SLOW,3583112,2
-0.06705165,-1.1957276,0.5401001,-0.012675454,-0.053145275,0.01947133,SLOW,3583113,2
0.10699499,-1.3701775,0.313859,0.031306844,0.028710667,0.0182496,SLOW,3583113,2
-0.050100207,0.23073912,1.2387562,0.020922136,0.034208454,0.010308351,SLOW,3583114,2
0.69162524,0.00030434132,0.33856392,0.12904528,-0.016493361,0.010919216,SLOW,3583114,2
-1.1850674,-0.49542361,-1.4989729,0.15958855,0.065973446,0.05429065,SLOW,3583115,2
-1.7941808,0.35657814,-1.4853106,0.07223482,-0.039095376,0.015195273,SLOW,3583115,2
-0.30816346,-0.81842583,-0.18153095,0.036193766,-0.069027774,0.051236324,SLOW,3583116,2
1.0097216,-0.86522824,-0.5827179,0.007483099,0.01282817,0.05673411,SLOW,3583117,2
-0.3617869,-0.3670845,0.6612091,0.09117164,-0.045814894,0.061010167,SLOW,3583117,2
-0.14408432,-0.08039987,-0.9212465,-0.033444874,0.03848451,0.12637275,SLOW,3583118,2
0.41968927,0.06310314,1.3457775,0.009315695,-0.08307768,0.078725256,SLOW,3583118,2
0.10169977,-0.37690288,0.32783508,0.06307184,0.017715093,0.08544478,SLOW,3583119,2
-0.42045707,-0.07880074,-0.12791157,0.025198191,0.0018325958,0.070173144,SLOW,3583119,2
0.23323494,-0.7768992,1.4339714,0.014202617,0.06169739,0.061621033,SLOW,3583120,2
0.34880102,0.93770826,0.063607216,-0.011453724,-0.0067195175,0.0463494,SLOW,3583120,2
-0.7071021,-0.7254167,0.5718317,0.019700404,0.051923547,0.0041996986,SLOW,3583121,2
0.21837962,-0.16833115,-0.19325733,0.04718934,0.035430185,-0.0092393365,SLOW,3583121,2
-0.26887715,0.5293205,-0.3654766,0.021533,0.05009095,-0.03306308,SLOW,3583122,2
0.93542886,-0.6397667,0.69941425,0.018478673,0.037873644,-0.028787024,SLOW,3583122,2
